symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
A,2016-07-25 00:00:00+00:00,46.14,46.52,45.92,46.49,1720649,44.4051188837,44.7708307428,44.1933909654,44.7419587539,1720649,0.0,1.0
A,2016-07-26 00:00:00+00:00,46.95,46.95,45.79,46.21,1792674,45.1846625833,45.1846625833,44.0682790136,44.4724868578,1792674,0.0,1.0
A,2016-07-27 00:00:00+00:00,47.26,47.46,46.73,47.0,1572573,45.4830064683,45.6754863941,44.9729346649,45.2327825647,1572573,0.0,1.0
A,2016-07-28 00:00:00+00:00,47.51,47.75,47.02,47.19,1945517,45.7236063755,45.9545822865,45.2520305573,45.4156384942,1945517,0.0,1.0
A,2016-07-29 00:00:00+00:00,48.11,48.175,47.36,47.49,1881372,46.3010461529,46.3636021288,45.5792464312,45.7043583829,1881372,0.0,1.0
A,2016-08-01 00:00:00+00:00,47.87,48.11,47.62,48.11,1604639,46.070070242,46.3010461529,45.8294703347,46.3010461529,1604639,0.0,1.0
A,2016-08-02 00:00:00+00:00,47.18,47.75,46.97,47.71,1595948,45.4060144979,45.9545822865,45.2039105758,45.9160863013,1595948,0.0,1.0
A,2016-08-03 00:00:00+00:00,47.09,47.18,46.9,47.1,1508868,45.3193985313,45.4060144979,45.1365426018,45.3290225276,1508868,0.0,1.0
A,2016-08-04 00:00:00+00:00,46.83,47.33,46.74,47.16,1700182,45.0691746278,45.5503744423,44.9825586612,45.3867665054,1700182,0.0,1.0
A,2016-08-05 00:00:00+00:00,47.49,47.54,47.1,47.1,1250805,45.7043583829,45.7524783644,45.3290225276,45.3290225276,1250805,0.0,1.0
A,2016-08-08 00:00:00+00:00,47.23,47.67,47.14,47.57,1311724,45.4541344794,45.8775903162,45.3675185128,45.7813503533,1311724,0.0,1.0
A,2016-08-09 00:00:00+00:00,47.45,47.625,47.11,47.11,1006170,45.6658623978,45.8342823329,45.3386465239,45.3386465239,1006170,0.0,1.0
A,2016-08-10 00:00:00+00:00,47.51,47.58,47.21,47.51,754137,45.7236063755,45.7909743496,45.4348864868,45.7236063755,754137,0.0,1.0
